strategy,metric,value
gross,n_days,918.0
gross,cumulative_return,0.5242584322592281
gross,annualized_return,0.1226680987665032
gross,annualized_vol,0.11025398511384917
gross,sharpe,1.1125956004205664
gross,max_drawdown,-0.10999747563594353
gross,side_trades,59.0
gross,round_trips,29.0
gross,holding_days,571.0
gross,holding_pct,0.6220043572984749
gross,win_rate,0.5516637478108581
gross,market_cumulative,0.4193553022632115
net,n_days,918.0
net,cumulative_return,0.4799437555743822
net,annualized_return,0.11361219805672218
net,annualized_vol,0.1102956402871929
net,sharpe,1.0300697086566022
net,max_drawdown,-0.1135509596102503
net,side_trades,59.0
net,round_trips,29.0
net,holding_days,571.0
net,holding_pct,0.6220043572984749
net,win_rate,0.5499124343257443
cost_aware_gross,n_days,918.0
cost_aware_gross,cumulative_return,0.5450984714913327
cost_aware_gross,annualized_return,0.12686092411590288
cost_aware_gross,annualized_vol,0.1100570342296709
cost_aware_gross,sharpe,1.1526834700194177
cost_aware_gross,max_drawdown,-0.10999747563594353
cost_aware_gross,side_trades,55.0
cost_aware_gross,round_trips,27.0
cost_aware_gross,holding_days,568.0
cost_aware_gross,holding_pct,0.6187363834422658
cost_aware_gross,win_rate,0.5528169014084507
cost_aware_net,n_days,918.0
cost_aware_net,cumulative_return,0.5031994118796228
cost_aware_net,annualized_return,0.11838875405841964
cost_aware_net,annualized_vol,0.11006750850207592
cost_aware_net,sharpe,1.0756012893322355
cost_aware_net,max_drawdown,-0.1135509596102503
cost_aware_net,side_trades,55.0
cost_aware_net,round_trips,27.0
cost_aware_net,holding_days,568.0
cost_aware_net,holding_pct,0.6187363834422658
cost_aware_net,win_rate,0.551056338028169
